SOURCE_INSTANCE	SOURCE_KEY1	SOURCE_KEY2	SOURCE_KEY3	LACTA_ANALYSIS_CODE	UPDATED_ON	UPDATED_BY
NA_LW_V5	ANAPC			431	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	BCEREUSPRE			433	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	ID-GENESEQ			434	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	COLI-MPN3			435	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	COLI-MPNW			436	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	COLI-PETRI			437	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	EC-MPN3			438	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	EC-MPNW			439	2015/10/09 10:02:52.000000000	F_EMMPER
NA_LW_V5	EC-PETRI			440	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	EC-C-PETRI			441	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	EC-MP-25			442	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	ENTBACT-PF			443	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	APC-HETERO			444	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	HETERLAMPN			445	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	HETERLBNPN			446	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LACTIC 			447	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LACTOBAC			448	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	PSEUDO			449	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	APC-PSYCHR			450	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LSPE-LMBXE			451	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LSPE-LMBXP 			452	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LM-CNFPCR			453	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LSPE-LGBX			454	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LG-CNFPCR			455	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LSPELF-BAX			456	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	LSP-CNFBAX			457	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	L-G-ELFAID			458	2015/10/09 10:02:53.000000000	F_EMMPER
NA_LW_V5	L-G-CNF-ID			459	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	MESOAER			460	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	ID-FUNGI			461	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	SALMO-ELFA			462	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	STAPH-CPS			463	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	STAPH-XPRS			464	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	APC-THERMD			465	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	THERMOAER			466	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	THRMANA6			467	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	APC-THERMP			468	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	TVC-NCFM			469	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	YEAST			470	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	YM			471	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	ID-YEAST			472	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	ASH			473	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	CALCIU-ICP			474	2015/10/09 10:02:54.000000000	F_EMMPER
NA_LW_V5	FAT-BABC			475	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	FAT-MOJAPA			476	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	FAT-MOJOAH			477	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	FAT-MOJOAP			478	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	FAT-MOJO			479	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	FAT-BY-FAP			480	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	ICP-DRY			630	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	ICP-MICROW			631	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	IRON-ICP			481	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	SUGR-LAC			482	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	MAGNES-ICP			483	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	MOIST-VO			484	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	NPN-BORIC			485	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	PH			486	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	PHOSPH-ICP			487	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	POTASS-ICP			488	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	PROT-BORIC			489	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	SALT-P			490	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	SODIUM-ICP			491	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	SOLID-FAO			492	2015/10/09 10:02:55.000000000	F_EMMPER
NA_LW_V5	SOLID-MOJO			493	2015/10/09 10:02:56.000000000	F_EMMPER
NA_LW_V5	SUGR-DP 1-2			494	2015/10/09 10:02:56.000000000	F_EMMPER
NA_LW_V5	VITAMIN-A			495	2015/10/09 10:02:56.000000000	F_EMMPER
NA_LW_V5	VITAMIN-D			496	2015/10/09 10:02:56.000000000	F_EMMPER
NA_LW_V5	L-G-ABAX-N			617	2015/10/09 10:02:56.000000000	F_EMMPER
NA_LW_V5	L-G-CNFID1			618	2015/10/09 10:02:56.000000000	F_EMMPER
NA_LW_V5	LSPE-LMBXP			452	2015/10/09 10:02:56.000000000	F_EMMPER
NA_LW_V5	SAL-ELFA-N			462	2015/10/09 10:02:56.000000000	F_EMMPER
EU_LW_V5	LA856			856	2015/10/09 10:02:56.000000000	F_EMMPER
